"interview__key","y5_hhid","plot_id","plotname","plot_desc","prevplot_id","ag3a_02_1","ag3a_02_2","ag3a_02_3","ag3a_03","ag3a_04","ag3a_07","ag3a_08a_1","ag3a_08a_2","ag3a_08b_1","ag3a_08b_2","ag3a_08b_3","ag3a_08c1","ag3a_08c2","ag3a_09a_1","ag3a_09a_2","ag3a_09b_1","ag3a_09b_2","ag3a_09b_3","ag3a_09c1","ag3a_09c2","ag3a_10","ag3a_11","ag3a_12","ag3a_13","ag3a_14","ag3a_15","ag3a_16_1","ag3a_16_2","ag3a_17","ag3a_18","ag3a_19","ag3a_20","ag3a_21","ag3a_22","ag3a_23","ag3a_24","ag3a_25","ag3a_26_1","ag3a_26_2","ag3a_27","ag3a_28a","ag3a_28b","ag3a_28c","ag3a_28d","ag3a_29_1","ag3a_29_2","ag3a_30","ag3a_31_1","ag3a_31_2","ag3a_31a","ag3a_32_1","ag3a_32_2","ag3a_33","ag3a_34_1","ag3a_34_2","ag3a_35","ag3a_36_1","ag3a_36_2","ag3a_37_1","ag3a_37_2","ag3a_38","ag3a_38a","ag3a_39","ag3a_40","ag3a_41","ag3a_42","ag3a_43","ag3a_44","ag3a_45","ag3a_46_1","ag3a_46_2","ag3a_47","ag3a_48","ag3a_49","ag3a_51","ag3a_52","ag3a_53_1","ag3a_53_2","ag3a_54","ag3a_55","ag3a_56","ag3a_58","ag3a_59_1","ag3a_59_2","ag3a_60","ag3a_62_1","ag3a_62_2","ag3a_63","ag3a_64","ag3a_65_1","ag3a_65_2","ag3a_65a","ag3a_65b_1","ag3a_65b_2","ag3a_65c","ag3a_65d","ag3a_65e_1","ag3a_65e_2","ag3a_66","ag3a_67_1","ag3a_67_2","ag3a_67_3","ag3a_67_4","ag3a_68","ag3a_69","ag3a_70_1","ag3a_70_2","ag3a_71_1","ag3a_71_2","ag3a_71a","ag3a_71b","ag3a_72a","ag3a_72b_1","ag3a_72b_2","ag3a_72b_3","ag3a_72b_4","ag3a_72b_5","ag3a_72b_6","ag3a_72b_7","ag3a_72b_8","ag3a_72b_9","ag3a_72b_10","ag3a_72c_1","ag3a_72c_2","ag3a_72c_3","ag3a_72c_4","ag3a_72c_5","ag3a_72c_6","ag3a_72c_7","ag3a_72c_8","ag3a_72c_9","ag3a_72c_10","ag3a_72d_1","ag3a_72d_2","ag3a_72d_3","ag3a_72d_4","ag3a_72d_5","ag3a_72d_6","ag3a_72d_7","ag3a_72d_8","ag3a_72d_9","ag3a_72d_10","ag3a_72e","ag3a_72f_1","ag3a_72f_2","ag3a_72f_3","ag3a_72f_4","ag3a_72f_5","ag3a_72f_6","ag3a_72f_7","ag3a_72f_8","ag3a_72f_9","ag3a_72f_10","ag3a_72g_1","ag3a_72g_2","ag3a_72g_3","ag3a_72g_4","ag3a_72g_5","ag3a_72g_6","ag3a_72g_7","ag3a_72g_8","ag3a_72g_9","ag3a_72g_10","ag3a_72h_1","ag3a_72h_2","ag3a_72h_3","ag3a_72h_4","ag3a_72h_5","ag3a_72h_6","ag3a_72h_7","ag3a_72h_8","ag3a_72h_9","ag3a_72h_10","ag3a_72i","ag3a_72j_1","ag3a_72j_2","ag3a_72j_3","ag3a_72j_4","ag3a_72j_5","ag3a_72j_6","ag3a_72j_7","ag3a_72j_8","ag3a_72j_9","ag3a_72j_10","ag3a_72k_1","ag3a_72k_2","ag3a_72k_3","ag3a_72k_4","ag3a_72k_5","ag3a_72k_6","ag3a_72k_7","ag3a_72k_8","ag3a_72k_9","ag3a_72k_10","ag3a_72l_1","ag3a_72l_2","ag3a_72l_3","ag3a_72l_4","ag3a_72l_5","ag3a_72l_6","ag3a_72l_7","ag3a_72l_8","ag3a_72l_9","ag3a_72l_10","ag3a_73","ag3a_74_1a","ag3a_74_1b","ag3a_74_1c","ag3a_74_1d","ag3a_74_2a","ag3a_74_2b","ag3a_74_2c","ag3a_74_2d","ag3a_74_3a","ag3a_74_3b","ag3a_74_3c","ag3a_74_3d","ag3a_75","ag3a_76","ag3a_77","ag3a_78","ag3a_79","ag3a_80","ag3a_81","ag3a_82","ag3a_83","ag3a_84","ag3a_85"
"51-59-11-36","3660-001-02",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,20,19,25,1,,12,1,0,2,,,,,1,0,2,,,,,2,1,2,2,,2,,,1,2,,,,0,,4000000,5,,,,1,,,8,2,,1,2,,1,,,,,,,,,,,2013,2,1,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,1,2,1,9,,,,,,,,,,14,,,,,,,,,,9,,,,,,,,,,1,9,,,,,,,,,,14,,,,,,,,,,10,,,,,,,,,,1,9,,,,,,,,,,21,,,,,,,,,,8,,,,,,,,,,1,0,4,0,150000,0,2,0,160000,0,6,0,370000,2,,,,,,2,,1,,5
"51-56-87-59","3660-001-04",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,35,25,30,3,,,,,,,,,,,,,,,,,2,2,2,2,,2,,,2,2,,,,0,,900000,4,,,,,,,4,,,,,,,,,,,,,20,2,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,3
"51-56-87-59","3660-001-04",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,40,30,35,1,,12,1,0,1,2,,,,1,0,1,2,,,,3,1,2,1,2,2,,,1,2,,,,0,,3600000,4,,,,,,,4,,,,,,,,,,,,,20,2,1,2,,,1,1,2,,,,,,,2,,,,,,,,,,,,,1,5,2,50000,3,9,2,2,,,,,,,2,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,590000,4,4,0,250000,0,10,0,50000,2,,,,,,2,,1,,3
"37-00-59-02","3662-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",5,0.5,1,1,,12,1,0,1,2,,,,1,0,1,2,,,,2,1,2,2,,2,,,1,2,,,,0,,600000,2,,,,2,,,8,1,2,1,1,2,2,,,,,,,,,,,2000,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,1,2,10000,3,9,1,2,,,,,,,2,,,,,,,,,,,1,2,1,1,2,,,,,,,,,12,7,,,,,,,,,6,6,,,,,,,,,1,1,2,,,,,,,,,30,30,,,,,,,,,5,5,,,,,,,,,1,1,2,4,5,,,,,,,7,7,7,4,,,,,,,5,5,5,5,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"37-00-59-02","3662-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",4,0,1,1,,12,1,0,1,2,,,,1,0,1,2,,,,1,2,2,1,2,2,,,1,2,,,,0,,2800000,1,,,,2,,,1,1,2,1,1,2,2,,,,,,,,,,,2014,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,0.5,2,5000,3,9,1,2,,,,,,,2,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,6,6,,,,,,,,,4,4,,,,,,,,,1,2,4,5,,,,,,,,2,2,2,,,,,,,,5,5,5,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"37-00-59-02","3662-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,0,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,800000,5,,,,1,,,1,1,2,1,1,2,2,,,,,,,,,,,2006,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,3
"37-00-59-02","3662-001-01",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",,8,0,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,10,,,,,,,8,,,,,,,,,,,,,21,1,1,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,2,
"53-57-52-18","3662-001-03",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,10,0,14,1,,12,1,0,1,2,,,,1,0,1,2,,,,2,1,2,2,,2,,,1,2,,,,0,,600000,5,,,,2,,,8,1,2,1,1,2,2,,,,,,,,,,,2018,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,2,2,20000,3,9,1,2,,,,,,,2,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,6,0,200000,0,4,0,80000,2,,,,,,2,,1,,3
"57-29-56-03","3663-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",6,0.03,20,3,,,,,,,,,,,,,,,,,2,2,2,2,,2,,,1,2,,,,98,,200000,5,,,,2,,,1,2,,1,2,,2,,,,,,,,,,,2005,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,2
"57-29-56-03","3663-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,12,0.04,26,1,,12,1,0,2,,,,,1,0,2,,,,,2,2,2,2,,2,,,1,2,,,,0,,1000000,5,,,,1,,,1,2,,1,2,,2,,,,,,,,,,,2017,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,8,2,96000,3,16,3,2,,,,,,,2,,,,,,,,,,,1,2,1,2,,,,,,,,,,21,,,,,,,,,,8,,,,,,,,,,1,2,,,,,,,,,,21,,,,,,,,,,6,,,,,,,,,,1,2,,,,,,,,,,30,,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"57-29-56-03","3663-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,4,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,200000,5,,,,1,,,1,2,,1,2,,2,,,,,,,,,,,2017,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,4
"57-29-56-03","3663-001-01",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",,0,0.05,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,50000,5,,,,1,,,1,2,,1,2,,2,,,,,,,,,,,2003,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,5
"53-39-02-41","3664-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-39-02-41","3664-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"84-24-39-26","3665-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"84-24-39-26","3665-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",20,0,22,1,,12,1,0,1,2,,,,1,0,1,2,,,,2,2,2,2,,2,,,1,2,,,,0,,1500000,5,,,,2,,,4,1,2,1,1,2,2,,,,,,,,,,,2011,2,1,1,2,,,,,,,2,,,,,,,,,,,,,1,4,2,40000,3,9,3,2,,,,,,,2,,,,,,,,,,,1,1,1,1,2,3,,,,,,,,3,3,3,,,,,,,,6,6,6,,,,,,,,1,1,2,3,,,,,,,,21,21,21,,,,,,,,8,8,8,,,,,,,,1,1,2,3,,,,,,,,30,30,30,,,,,,,,6,6,6,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"84-24-39-26","3665-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,65,0.5,66,1,,12,1,0,1,2,,,,1,0,1,2,,,,2,2,2,2,,2,,,1,2,,,,0,,1500000,4,,,,,,,4,,,,,,,,,,,,,20,1,1,2,,,1,1,2,,,,,,,1,2,50,60000,3,9,3,2,,,,,,1,6,2,60000,3,9,3,2,,,,,,,2,,,,,,,,,,,1,2,1,1,2,3,,,,,,,,8,8,8,,,,,,,,8,8,8,,,,,,,,1,1,2,3,,,,,,,,30,30,30,,,,,,,,7,7,7,,,,,,,,1,1,2,3,,,,,,,,30,30,30,,,,,,,,6,6,6,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"17-40-36-85","3665-001-05",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,15,1,16,1,,12,1,0,1,,,,,1,0,1,,,,,2,2,2,2,,2,,,1,2,,,,0,,500000,4,,,,,,,8,,,,,,,,,,,,,20,1,1,,,,1,1,2,,,,,,,2,,,,,,,,,,,,,1,3,2,30000,3,9,1,2,,,,,,,2,,,,,,,,,,,2,2,1,1,2,,,,,,,,,10,10,,,,,,,,,7,7,,,,,,,,,1,1,2,,,,,,,,,30,30,,,,,,,,,6,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"73-54-93-25","3666-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0,6,1,,12,1,0,1,2,,,,1,0,1,2,,,,2,1,2,2,,2,,,1,2,,,,0,,2000000,5,,,,2,,,7,1,2,1,1,2,2,,,,,,,,,,,2013,2,1,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,1,2,1,1,2,3,4,5,7,,,,,4,4,4,4,4,4,,,,,7,7,7,7,7,7,,,,,1,1,2,3,4,5,7,,,,,15,15,15,15,15,15,,,,,5,7,5,7,6,6,,,,,1,1,2,3,4,5,7,,,,,5,5,5,5,5,5,,,,,5,5,5,5,5,5,,,,,2,,,,,,,,,,,,,2,,,,,,1,95,,,
"73-54-93-25","3666-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,6,0,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1500000,10,,,,,,,8,,,,,,,,,,,,,1,1,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,95,,,
"73-54-93-25","3666-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,6,0,7,1,,12,1,0,1,2,,,,1,0,1,2,,,,2,1,2,2,,2,,,1,2,,,,0,,7000000,10,,,,,,,8,,,,,,,,,,,,,20,1,1,2,,,1,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,2,1,1,1,2,3,4,5,7,,,,,30,30,30,30,30,20,,,,,6,6,6,6,6,4,,,,,1,1,2,3,4,5,7,,,,,35,35,35,35,35,28,,,,,7,8,8,8,8,7,,,,,1,1,2,3,4,5,7,,,,,15,15,15,15,15,10,,,,,7,7,7,7,7,7,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"33-22-49-70","3667-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0,3,1,,12,1,0,1,,,,,1,0,1,,,,,2,2,2,2,,2,,,1,2,,,,0,,500000,5,,,,1,,,1,1,,1,1,,2,,,,,,,,,,,2003,2,2,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,2,2,1,1,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,1,1,,,,,,,,,,30,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"33-22-49-70","3667-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-63-96-06","3667-001-03",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,0,0,3,1,,12,1,0,2,,,,,1,0,2,,,,,1,2,2,2,,2,,,3,2,,,,0,,1000000,2,,,,3,2,,4,1,,2,,,,,,,,,,,,,,2018,2,1,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,2,2,1,1,2,,,,,,,,,7,7,,,,,,,,,9,9,,,,,,,,,1,1,2,,,,,,,,,7,7,,,,,,,,,9,9,,,,,,,,,1,1,2,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"97-63-96-06","3667-001-03",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,0,0,3,1,,12,1,0,1,,,,,1,0,1,2,,,,2,2,2,2,,2,,,1,2,,,,0,,500000,6,,,,,,,4,,,,,,,,,,,,,1,1,1,,,,1,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,2,2,1,1,2,,,,,,,,,14,14,,,,,,,,,9,9,,,,,,,,,1,1,2,,,,,,,,,14,14,,,,,,,,,9,9,,,,,,,,,1,1,2,,,,,,,,,14,14,,,,,,,,,9,9,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,1,,3
"11-43-16-03","3682-001-02",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",10,1,8,3,,,,,,,,,,,,,,,,,2,2,2,2,,2,,,1,2,,,,0,,2500000,5,,,,3,1,1,1,2,,1,2,,2,,,,,,,,,,,2008,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,2
"11-43-16-03","3682-001-02",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,18,5,2,3,,,,,,,,,,,,,,,,,2,1,2,2,,2,,,3,2,,,,0,,12000000,5,,,,3,1,1,1,2,,1,2,,2,,,,,,,,,,,2017,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,3
"11-43-16-03","3682-001-02",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,0,0,1,3,,,,,,,,,,,,,,,,,2,1,2,2,,2,,,1,2,,,,0,,1500000,6,,,,,,,8,,,,,,,,,,,,,1,1,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,2
"11-43-16-03","3682-001-02",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1000000,6,,,,,,,8,,,,,,,,,,,,,1,1,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,3
"34-30-09-00","3686-001-02",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,250000,6,,,,,,,8,,,,,,,,,,,,,6,1,2,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,3
"97-67-30-88","3687-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",0,0,6,1,,71,1,0,1,,,,,1,0,1,,,,,2,1,2,2,,1,1,,1,2,,,,0,,2000000,6,,,,,,,8,,,,,,,,,,,,,1,1,1,,,,2,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,2,2,1,1,2,,,,,,,,,3,3,,,,,,,,,3,3,,,,,,,,,1,1,2,,,,,,,,,1,1,,,,,,,,,3,3,,,,,,,,,1,1,2,,,,,,,,,21,10,,,,,,,,,2,3,,,,,,,,,2,,,,,,,,,,,,,1,1,71,,,,,,,,
"97-67-30-88","3687-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-67-30-88","3687-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","M3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-67-30-88","3687-001-01",4,"**CONFIDENTIAL**","**CONFIDENTIAL**","M4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-67-30-88","3687-001-01",5,"**CONFIDENTIAL**","**CONFIDENTIAL**","M5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-77-43-80","3698-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",60,2,63,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2500000,5,,,,3,1,1,8,1,2,1,1,2,2,,,,,,,,,,,2010,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,3
"60-75-46-46","3699-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","M1",55,0,5,1,,12,1,0,1,,,,,1,0,1,,,,,4,1,2,2,,2,,,1,2,,,,0,,1000000,5,,,,2,,,1,1,,1,1,,2,,,,,,,,,,,2015,2,1,1,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,1,3,2,36000,3,20,1,2,,,,,,,,,,,1,2,1,1,,,,,,,,,,10,,,,,,,,,,7,,,,,,,,,,1,1,,,,,,,,,,55,,,,,,,,,,7,,,,,,,,,,1,1,,,,,,,,,,12,,,,,,,,,,7,,,,,,,,,,1,0,1,0,120000,0,8,0,120000,0,4,0,60000,2,,,,,,2,,1,,3
