"interview__key","y5_hhid","plot_id","plotname","ag2a_03","ag2a_04","ag2a_05","ag2a_05a","ag2a_06","ag2a_07__Accuracy","ag2a_07__Altitude","ag2a_07__Latitude","ag2a_07__Longitude","ag2a_07__Timestamp","ag2a_07a","ag2a_07b","ag2a_07c_1","ag2a_07c_2","ag2a_07c_3","ag2a_08","ag2a_09","ag2a_10"
"39-50-51-32","3038-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,1.7,2
"39-50-51-32","3038-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",12,,1,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,3,,
"39-50-51-32","3038-001-01",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,6.09,3
"07-48-89-43","3039-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M1",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"07-48-89-43","3039-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M2",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"07-48-89-43","3039-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M3",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"39-36-43-12","3040-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.1,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,1,2,,,,0.11,3
"39-36-43-12","3040-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",5,"M2",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,2,,,,12,3
"72-68-04-92","3042-001-01",1,"**CONFIDENTIAL**",,1,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,1.2,1
"89-40-51-88","3052-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",3,1,3,,,,3.08,1
"89-40-51-88","3052-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"M2",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",3,1,3,,,,1.02,1
"89-40-51-88","3052-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M3",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"68-23-21-38","3056-001-04",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.25,,2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.59,4
"68-23-21-38","3056-001-04",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,1.1,4
"78-10-18-94","3056-001-05",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.25,,2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"04-23-29-78","3058-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,3.18,3
"04-23-29-78","3058-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M2",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"04-23-29-78","3058-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,2.08,3
"04-23-29-78","3058-001-01",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.88,3
"04-23-29-78","3058-001-01",5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"38-77-98-46","3071-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M1",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"38-77-98-46","3071-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M2",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"38-77-98-46","3071-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"M3",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,2,,,,,1.69,4
"38-77-98-46","3071-001-01",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,2,,,,,7.56,5
"38-77-98-46","3071-001-01",5,"**CONFIDENTIAL**","**CONFIDENTIAL**",12,,2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,2,,,,,13.27,4
"65-09-41-66","3073-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,,2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"96-10-29-26","3074-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,1.36,4
"96-10-29-26","3074-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M2",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"96-10-29-26","3074-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,5.45,4
"96-10-29-26","3074-001-01",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,3.13,4
"52-87-01-71","3074-001-03",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",10,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,5.38,5
"52-87-01-71","3074-001-03",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,1,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,3,,
"52-87-01-71","3074-001-03",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,1.42,5
"52-87-01-71","3074-001-03",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,5.72,5
"83-83-97-84","3074-001-04",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.92,4
"83-83-97-84","3074-001-04",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,3.86,4
"89-42-62-02","3075-001-02",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",3,1,3,,,,2.5,1
"18-27-56-50","3076-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M1",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"18-27-56-50","3076-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"M2",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",3,1,3,,,,7.6,4
"18-27-56-50","3076-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"M3",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",3,1,3,,,,3.96,4
"26-56-21-87","3076-001-04",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,,2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,1,2,,,,3.53,4
"22-18-86-07","3077-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,2,,,1.92,4
"22-18-86-07","3077-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"M2",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",3,1,1,2,,,4.54,4
"22-58-01-55","3078-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M1",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"22-58-01-55","3078-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,"M2",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",7,1,7,,,,3.1,3
"22-58-01-55","3078-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",7,1,7,,,,1.4,3
"22-58-01-55","3078-001-01",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1.5,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",7,1,7,,,,1.92,3
"04-35-28-36","3078-001-02",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",7,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",5,1,3,5,7,,7.9,3
"79-17-75-55","3090-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.5,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.53,1
"79-17-75-55","3090-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1.5,"M2",2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"12-15-07-66","3091-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,4.5,2
"81-32-17-94","3092-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,1.31,4
"01-31-69-05","3093-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,2.9,2
"01-31-69-05","3093-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M2",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"08-93-73-16","3094-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",5,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",3,1,3,,,,5.14,4
"66-31-98-44","3095-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1.5,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,1.31,3
"12-95-59-21","3097-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",9,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,9.03,2
"93-36-30-05","3109-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.75,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.81,3
"93-36-30-05","3109-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,"M2",1,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"82-67-31-09","3110-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,,2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,3,,
"82-67-31-09","3110-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"13-23-04-15","3112-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,,1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.99,3
"65-60-93-93","3114-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,2,,,,,1.56,3
"65-60-93-93","3114-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,"M2",1,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"18-57-18-84","3115-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,1,2,,,,0.65,3
"40-18-89-32","3116-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.2,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,3,,,,0.55,2
"40-18-89-32","3116-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.5,"M2",2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"69-54-28-67","3117-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.7,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.1,3
"69-54-28-67","3117-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,"M2",2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"69-54-28-67","3117-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M3",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"69-54-28-67","3117-001-01",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.98,3
"06-70-18-54","3128-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",5.5,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,6.41,3
"06-70-18-54","3128-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,,2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.43,3
"90-08-06-64","3129-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",20,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,4.42,3
"27-42-34-26","3130-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",10,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,2,,,,,9.3,3
"27-42-34-26","3130-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,"M2",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,4.9,4
"27-42-34-26","3130-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",15,"M3",2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"45-58-24-42","3131-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.25,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.18,4
"45-58-24-42","3131-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",10,"M2",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,6.21,4
"45-58-24-42","3131-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",5,"M3",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,8.22,3
"02-24-34-26","3132-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",8,"M1",2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,3,,
"00-83-50-40","3133-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",8,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,4.98,3
"00-83-50-40","3133-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,"M2",2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"39-92-70-01","3134-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,2,,,5.78,3
"39-92-70-01","3134-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"M2",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,2,,,1.98,3
"39-92-70-01","3134-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.5,"M3",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.1,3
"82-38-31-49","3135-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M1",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"82-38-31-49","3135-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M2",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"96-64-64-18","3147-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.2,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,2,,,0.07,2
"96-64-64-18","3147-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,2,,
"17-86-57-81","3148-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.5,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",6,1,6,,,,0.21,1
"17-86-57-81","3148-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.4,"M2",1,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"57-20-31-66","3149-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.4,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,1,2,,,,0.02,2
"57-20-31-66","3149-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.2,"M2",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,1,1,,,,0.06,2
"57-20-31-66","3149-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M3",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"57-20-31-66","3149-001-01",4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,,2,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,3,,
"62-65-17-39","3150-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.2,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.03,2
"62-65-17-39","3150-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M2",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"62-65-17-39","3150-001-01",3,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M3",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"36-95-77-68","3151-001-02",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M1",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"59-48-24-65","3152-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",,"M1",,,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,,,
"59-48-24-65","3152-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"M2",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",4,1,4,,,,2.18,2
"26-43-46-66","3154-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,,,,0.47,2
"81-00-58-34","3166-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.5,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,1,2,,,,0.17,3
"81-00-58-34","3166-001-01",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",0.5,"M2",1,2,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",,,,,,,1,,
"29-45-42-37","3167-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"M1",2,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,2,,,,,0.57,1
"42-00-78-10","3168-001-01",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"M1",1,1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",1,1,1,4,,,2.62,2
