"interview__key","y5_hhid","plot_id","cropid","ag6b_02","ag6b_03","ag6b_04","ag6b_05","ag6b_06","ag6b_06a","ag6b_07_1","ag6b_07_2","ag6b_07_3","ag6b_07_4","ag6b_08_1","ag6b_08_2","ag6b_09","ag6b_10","ag6b_11"
"88-95-93-56","2146-001-01",3,54,300,2016,0,1,2,1,2021,3,2021,6,1,,150,2,
"88-95-93-56","2146-001-01",3,302,300,2014,0,1,2,2,,,,,,,,,
"88-95-93-56","2146-001-01",3,304,100,2011,0,1,2,2,,,,,,,,,
"37-02-89-81","2146-001-03",1,21,200,2020,30,1,2,1,2021,5,2021,9,1,,20,2,
"37-02-89-81","2146-001-03",1,44,1,1900,0,1,2,2,,,,,,,,,
"37-02-89-81","2146-001-03",1,54,15,1900,0,1,2,1,2021,6,2021,8,1,,24,2,
"37-02-89-81","2146-001-03",2,21,100,2021,100,1,2,2,,,,,,,,,
"37-02-89-81","2146-001-03",2,54,3,1900,0,1,2,1,2021,6,2021,8,1,,6,2,
"98-78-94-13","2147-001-01",1,54,40,2015,0,1,2,1,2020,4,2020,6,1,2,20,1,6
"98-78-94-13","2147-001-01",1,304,10,2010,0,1,2,2,,,,,,,,,
"98-78-94-13","2147-001-01",2,21,50,2021,50,1,2,2,,,,,,,,,
"98-78-94-13","2147-001-01",2,54,30,2016,0,1,2,2,,,,,,,,,
"98-78-94-13","2147-001-01",2,304,20,2010,0,1,2,2,,,,,,,,,
"82-49-19-23","2159-001-01",1,54,140,1998,23,1,2,1,2020,6,2020,7,1,,420,2,
"40-34-16-23","2159-001-04",1,54,5,2010,0,1,2,1,2020,6,2020,7,1,2,120,1,3
"92-29-28-06","2162-001-01",1,54,5,2010,0,1,2,1,2020,7,2020,9,2,,120,2,
"45-96-39-56","2164-001-01",1,54,8,1900,0,1,2,1,2020,7,2020,8,1,,3,2,
"45-96-39-56","2164-001-01",2,21,300,2019,0,1,2,1,2020,10,2020,10,1,,600,2,
"45-96-39-56","2164-001-01",2,306,12,2018,0,1,2,2,,,,,,,,,
"43-24-82-62","2165-001-01",1,54,20,2010,0,1,2,2,,,,,,,,,
"43-24-82-62","2165-001-01",2,54,60,2014,0,1,2,2,,,,,,,,,
"79-35-82-23","2166-001-01",1,21,50,2020,50,1,2,2,,,,,,,,,
"08-19-86-57","2179-001-01",1,54,20,1999,0,2,,1,2020,6,2020,8,1,,140,2,
"08-19-86-57","2179-001-01",1,304,50,2015,0,2,,2,,,,,,,,,
"14-48-48-94","2180-001-01",1,54,10,2012,0,1,2,1,2020,6,2020,6,1,2,30,1,3
"14-48-48-94","2180-001-01",2,998,2000,2010,150,2,,2,,,,,,,,,
"82-21-30-39","2181-001-01",1,21,50,2019,20,1,2,1,2020,1,2020,12,1,,60,2,
"82-21-30-39","2181-001-01",1,54,50,1990,0,1,2,1,2020,5,2020,5,1,,157,2,
"97-20-56-67","2184-001-01",1,21,30,2019,20,1,2,1,2020,4,2020,6,1,,60,2,
"01-60-89-94","2185-001-01",1,54,350,1980,0,2,,1,2020,5,2020,6,1,,167,2,
"50-12-34-35","2197-001-01",3,21,250,2019,50,2,,1,2020,9,2020,12,1,,240,2,
"56-62-89-78","2199-001-01",1,21,300,2019,270,2,,1,2020,7,2020,8,2,,840,2,
"97-95-25-48","2200-001-01",1,21,500,2019,0,2,,1,2020,6,2020,8,1,2,900,2,
"99-10-27-02","2200-001-03",1,21,1200,2018,100,1,2,1,2020,8,2020,11,1,2,350,1,4
"89-10-69-31","2202-001-01",1,21,15000,2019,6000,1,2,1,2020,8,2020,9,1,2,640,1,4
"72-15-83-72","2203-001-01",1,21,340,2019,55,1,2,1,2019,9,2020,11,1,,120,2,
"56-10-08-70","2204-001-01",1,21,700,2019,700,1,2,1,2020,9,2020,11,1,,200,2,
"78-15-43-85","2216-001-01",1,54,17,1985,0,1,2,1,2020,5,2020,6,1,,30,2,
"81-50-48-56","2217-001-02",1,54,85,1987,0,1,2,1,2021,6,2021,8,1,2,55,2,
"84-58-41-51","2218-001-01",1,54,30,2010,0,1,2,1,2020,6,2021,7,1,2,100,2,
"84-58-41-51","2218-001-01",1,304,4,2016,0,1,2,2,,,,,,,,,
"84-58-41-51","2218-001-01",1,998,50,2020,50,1,2,1,2020,11,2021,10,1,2,60,2,
"84-58-41-51","2218-001-01",2,54,100,2010,0,2,,1,2020,6,2021,7,1,2,150,2,
"84-58-41-51","2218-001-01",3,54,20,2010,0,1,2,1,2020,6,2021,7,1,2,70,2,
"84-58-41-51","2218-001-01",3,304,4,2012,0,1,2,2,,,,,,,,,
"84-58-41-51","2218-001-01",6,54,600,2016,0,1,2,1,2020,6,2021,7,1,2,200,2,
"84-58-41-51","2218-001-01",6,304,8,2015,2,1,2,2,,,,,,,,,
"91-90-18-92","2220-001-01",3,303,6,2014,0,1,2,2,,,,,,,,,
"91-90-18-92","2220-001-01",3,304,20,2014,0,1,2,2,,,,,,,,,
"91-90-18-92","2220-001-01",5,21,20,2020,0,1,2,2,,,,,,,,,
"05-40-62-63","2221-001-01",1,54,20,2014,0,1,2,1,2020,9,2021,10,1,2,20,2,
"24-15-17-33","2222-001-01",1,54,105,1994,50,1,1,1,2021,7,2021,10,1,2,335,2,
"24-15-17-33","2222-001-01",1,304,10,1983,0,2,,2,,,,,,,,,
"24-15-17-33","2222-001-01",2,54,50,2020,0,1,2,2,,,,,,,,,
"24-15-17-33","2222-001-01",3,54,150,2020,0,1,2,2,,,,,,,,,
"24-15-17-33","2222-001-01",3,60,25,2021,25,1,2,2,,,,,,,,,
"21-66-19-79","2235-001-01",1,54,40,1968,0,1,2,1,2020,6,2020,8,2,,24,2,
"21-66-19-79","2235-001-01",3,54,60,2000,0,1,2,1,2020,6,2020,8,2,,24,2,
"04-72-30-29","2236-001-01",1,54,150,2013,0,2,,1,2020,5,2020,6,1,,40,2,
"04-72-30-29","2236-001-01",1,304,4,1900,0,2,,2,,,,,,,,,
"04-72-30-29","2236-001-01",1,998,30,2019,25,2,,2,,,,,,,,,
"04-72-30-29","2236-001-01",2,60,10,2018,3,2,,1,2019,12,2020,11,1,9,120,2,
"04-72-30-29","2236-001-01",2,304,2,1900,0,2,,2,,,,,,,,,
"00-11-58-55","2236-001-02",1,21,40,2020,40,1,3,2,,,,,,,,,
"00-11-58-55","2236-001-02",1,54,4,1980,0,1,3,1,2020,5,2020,7,1,,5,2,
"00-11-58-55","2236-001-02",1,60,6,2020,2,1,3,2,,,,,,,,,
"00-11-58-55","2236-001-02",1,304,6,2010,0,1,3,2,,,,,,,,,
"00-11-58-55","2236-001-02",1,998,200,2020,200,1,3,2,,,,,,,,,
"70-46-23-36","2237-001-01",1,21,50,2020,50,2,,1,2020,10,2020,12,1,,60,1,2
"70-46-23-36","2237-001-01",1,44,2,2013,0,2,,2,,,,,,,,,
"70-46-23-36","2237-001-01",1,54,50,2014,0,2,,1,2019,6,2020,6,1,,20,1,6
"70-46-23-36","2237-001-01",1,304,30,2011,0,2,,1,2020,8,2020,8,1,,2,2,
"33-40-18-38","2238-001-01",1,21,12,2020,12,1,2,2,,,,,,,,,
"33-40-18-38","2238-001-01",1,54,10,1995,0,1,2,1,2019,12,2020,11,1,,175,2,
"33-40-18-38","2238-001-01",2,54,4,1995,0,1,2,1,2019,12,2020,11,1,,85,2,
"00-38-57-23","2239-001-01",1,21,50,2019,0,1,2,2,,,,,,,,,
"00-38-57-23","2239-001-01",1,54,150,1986,0,1,2,1,2020,6,2020,9,1,,100,2,
"00-38-57-23","2239-001-01",1,303,6,2017,0,1,2,2,,,,,,,,,
"00-38-57-23","2239-001-01",1,998,40,2018,0,1,2,1,2020,10,2020,12,1,2,30,2,
"31-14-86-01","2242-001-01",1,54,50,2015,0,1,1,2,,,,,,,,,
"53-95-94-12","2254-001-01",1,21,30,2020,25,2,,1,2019,12,2020,11,1,,25,2,
"53-95-94-12","2254-001-01",2,54,150,2007,0,1,2,1,2020,6,2020,8,1,,450,2,
"53-95-94-12","2254-001-01",2,304,4,2017,0,2,,2,,,,,,,,,
"74-70-00-93","2255-001-01",1,21,30,2019,60,2,,1,2020,8,2020,10,1,,150,2,
"74-70-00-93","2255-001-01",1,54,40,2017,0,2,,1,2020,7,2020,7,1,,60,2,
"74-70-00-93","2255-001-01",1,60,10,2019,15,2,,1,2020,1,2020,12,1,,70,2,
"74-70-00-93","2255-001-01",2,21,60,2019,60,2,,2,,,,,,,,,
"74-70-00-93","2255-001-01",2,54,80,2008,0,2,,1,2020,6,2020,8,1,,200,2,
"74-70-00-93","2255-001-01",3,54,30,2014,0,2,,1,2020,7,2020,8,1,,40,2,
"74-70-00-93","2255-001-01",3,60,100,2020,9,2,,1,2020,1,2020,12,1,,30,2,
"93-31-89-76","2256-001-01",1,54,6,2005,0,1,2,1,2020,7,2020,7,1,2,50,1,5
"93-31-89-76","2256-001-01",2,54,100,1997,0,1,2,1,2020,7,2020,7,1,2,550,2,
"93-31-89-76","2256-001-01",2,304,2,2010,15,1,2,1,2020,10,2020,10,1,2,120,2,
"79-86-31-64","2256-001-03",2,21,170,2017,6,1,2,1,2019,12,2020,11,1,2,150,2,
"30-93-95-65","2257-001-01",1,21,20,2019,20,1,2,1,2020,8,2020,9,1,2,125,2,
"30-93-95-65","2257-001-01",1,54,3,2019,3,1,2,2,,,,,,,,,
"30-93-95-65","2257-001-01",1,998,13,2018,0,1,2,2,,,,,,,,,
"30-93-95-65","2257-001-01",3,54,360,1998,10,1,2,1,2019,12,2020,11,1,2,560,2,
"30-93-95-65","2257-001-01",3,998,9,2000,0,1,2,2,,,,,,,,,
"80-56-51-76","2259-001-01",1,54,23,2016,0,1,2,2,,,,,,,,,
"80-56-51-76","2259-001-01",3,21,18,2020,7,1,2,2,,,,,,,,,
"80-56-51-76","2259-001-01",4,54,12,2016,0,2,,2,,,,,,,,,
"61-97-17-87","2277-001-01",1,21,500,2019,500,1,2,1,2020,3,2020,5,1,,1000,2,
"19-61-62-90","2277-001-03",1,21,70,2019,0,2,,1,2020,8,2020,9,3,,80,2,
"19-61-62-90","2277-001-03",2,21,90,2019,49,2,,1,2020,8,2020,11,1,,80,2,
"41-81-85-62","2280-001-01",1,21,150,2020,150,2,,1,2020,9,2021,1,1,,200,2,
"14-58-18-61","2292-001-02",5,21,200,2020,150,2,,1,2020,12,2020,12,2,,50,2,
"29-32-41-81","2293-001-01",2,21,250,2020,250,2,,1,2020,9,2021,1,1,8,160,2,
"22-44-20-21","2293-001-02",1,46,5,1900,0,2,,2,,,,,,,,,
"79-64-91-55","2294-001-01",1,45,20,1990,0,2,,1,2020,6,2020,8,2,,45,2,
"79-64-91-55","2294-001-01",1,64,3,2004,0,2,,1,2020,12,2020,12,2,,4,2,
"79-64-91-55","2294-001-01",2,66,40,1990,7,2,,2,,,,,,,,,
"79-64-91-55","2294-001-01",3,21,500,2020,500,2,,1,2020,8,2020,10,2,,1120,2,
"83-01-75-41","2295-001-01",1,21,200,2020,200,2,,1,2020,6,2020,7,1,,50,2,
"80-85-79-46","2296-001-01",2,21,250,2020,250,2,,1,2020,6,2020,9,1,2,160,2,
"78-59-25-36","2297-001-01",3,21,80,2020,100,2,,2,,,,,,,,,
"90-57-92-07","2298-001-01",1,21,200,2020,300,2,,1,2020,6,2020,12,1,2,1500,2,
"90-57-92-07","2298-001-01",1,66,10,2015,7,1,2,2,,,,,,,,,
"96-15-71-56","2311-001-01",1,21,200,2020,200,2,,2,,,,,,,,,
"96-15-71-56","2311-001-01",1,45,56,1964,0,2,,1,2020,12,2020,12,1,,490,1,5
"89-81-17-29","2311-001-04",1,21,200,2020,200,2,,1,2020,4,2020,7,1,,240,2,
"89-81-17-29","2311-001-04",2,21,250,2020,250,2,,1,2020,7,2020,12,1,,160,2,
"61-02-06-09","2312-001-01",1,21,250,2020,250,2,,2,,,,,,,,,
"61-02-06-09","2312-001-01",2,21,500,2020,500,2,,2,,,,,,,,,
"75-37-54-95","2313-001-01",1,21,100,2020,100,2,,1,2020,4,2020,8,1,,240,2,
"75-37-54-95","2313-001-01",3,21,150,2020,150,2,,1,2020,9,2020,11,1,,240,2,
"85-96-93-02","2316-001-01",1,21,300,2020,300,2,,1,2020,5,2020,9,1,2,500,1,5
"85-96-93-02","2316-001-01",2,21,200,2020,200,2,,1,2020,1,2020,6,1,2,350,2,
"85-96-93-02","2316-001-01",3,21,100,2020,100,2,,1,2020,11,2021,1,1,2,50,2,
"45-27-67-93","2318-001-01",1,21,200,2020,200,2,,1,2020,8,2020,11,1,2,240,2,
"93-78-78-68","2330-001-03",1,21,100,2020,100,2,,2,,,,,,,,,
"93-78-78-68","2330-001-03",1,45,15,1990,10,2,,2,,,,,,,,,
"93-78-78-68","2330-001-03",2,66,15,2012,0,2,,2,,,,,,,,,
"87-83-98-06","2349-001-01",1,21,300,2019,300,1,2,1,2019,3,2020,3,1,2,200,2,
"43-46-75-79","2349-001-03",1,21,900,2020,900,2,,1,2020,2,2020,5,1,2,100,1,2
"68-30-71-79","2350-001-03",5,45,15,2016,4,2,,2,,,,,,,,,
"68-30-71-79","2350-001-03",5,66,26,2010,15,2,,2,,,,,,,,,
"68-30-71-79","2350-001-03",7,21,200,2020,200,2,,1,2020,12,2021,1,6,,500,2,
"68-30-71-79","2350-001-03",10,21,300,2020,300,2,,2,,,,,,,,,
"14-98-81-49","2352-001-02",2,21,200,2020,250,2,,1,2020,7,2020,7,2,,60,2,
"12-97-36-29","2352-001-04",1,21,250,2020,250,2,,1,2020,3,2020,6,6,,160,2,
"81-32-40-34","2352-001-07",1,21,300,2019,300,1,2,1,2020,3,2020,9,1,2,100,1,6
"87-03-73-53","2353-001-01",2,21,400,2020,400,2,,2,,,,,,,,,
"87-03-73-53","2353-001-01",3,21,600,2020,600,2,,1,2020,12,2021,1,1,,550,1,6
"87-03-73-53","2353-001-01",5,21,400,2020,400,2,,2,,,,,,,,,
"31-61-58-01","2353-001-03",1,21,500,2020,500,2,,2,,,,,,,,,
"18-73-48-01","2353-001-04",1,21,200,2020,200,2,,1,2020,7,2020,10,1,,800,2,
"46-05-43-17","2353-001-05",1,21,200,2020,200,2,,2,,,,,,,,,
"46-05-43-17","2353-001-05",1,45,30,2019,10,2,,2,,,,,,,,,
"46-05-43-17","2353-001-05",2,21,250,2020,250,2,,2,,,,,,,,,
"00-22-08-83","2354-001-01",1,21,200,2020,200,2,,1,2020,6,2020,9,1,2,160,2,
"19-93-05-37","2354-001-04",1,21,270,2020,270,2,,1,2020,6,2020,9,1,2,120,2,
"48-82-44-02","2355-001-01",1,21,100,2020,100,2,,1,2020,5,2020,12,1,,800,2,
"48-82-44-02","2355-001-01",3,21,150,2019,50,2,,1,2020,8,2020,12,1,,400,2,
"48-82-44-02","2355-001-01",4,21,40,2019,15,2,,1,2020,1,2020,12,1,,45,2,
"66-57-22-71","2356-001-01",1,21,150,2019,150,2,,1,2020,1,2020,11,1,,400,1,5
"66-57-22-71","2356-001-01",2,21,50,2020,50,2,,2,,,,,,,,,
"66-57-22-71","2356-001-01",2,45,70,2017,20,2,,1,2020,5,2020,10,1,,200,1,5
"54-52-86-50","2371-001-01",1,21,300,2020,300,1,2,1,2020,1,2021,10,1,,200,1,5
"54-52-86-50","2371-001-01",2,45,8,2020,3,2,,1,2020,1,2021,9,1,,750,1,5
"54-52-86-50","2371-001-01",3,34,30,2019,10,2,,1,2021,6,2021,6,2,,12,2,
"19-42-65-67","2372-001-01",1,21,300,2020,70,2,,1,2021,4,2021,8,1,2,210,2,
"81-79-41-97","2373-001-03",1,21,400,2020,400,2,,2,,,,,,,,,
"77-70-58-35","2389-001-02",4,21,200,2020,200,2,,1,2021,5,2021,7,2,,37,1,2
"95-47-09-33","2394-001-01",1,21,400,2020,400,2,,1,2020,10,2021,9,2,,350,2,
"95-47-09-33","2394-001-01",2,34,100,2020,100,2,,1,2021,4,2021,5,2,,80,2,
"24-59-87-47","2430-001-01",1,21,2000,2020,2000,2,,2,,,,,,,,,
"17-25-01-08","2431-001-01",1,21,400,2020,400,2,,1,2020,5,2020,7,1,2,320,2,
"81-05-05-17","2432-001-01",2,21,500,2020,600,2,,1,2020,1,2021,2,1,,100,2,
"81-05-05-17","2432-001-01",3,21,500,2020,600,2,,1,2020,1,2021,2,1,,100,2,
"82-12-05-75","2435-001-01",1,21,200,2020,200,1,2,1,2020,2,2020,7,1,,150,1,5
"47-13-32-57","2464-001-03",1,44,35,2002,0,1,2,1,2020,9,2021,10,13,,2000,2,
"89-90-41-69","2469-001-01",1,56,100,2017,0,2,,1,2021,5,2021,12,1,2,400,2,
"89-90-41-69","2469-001-01",1,60,5,2019,0,2,,1,2021,1,2021,12,1,2,20,2,
"84-22-10-90","2483-001-01",2,21,250,2019,20,2,,1,2020,8,2020,11,1,,250,2,
"60-01-61-29","2520-001-01",2,21,7000,2017,1300,1,2,1,2020,9,2020,11,1,2,300,1,3
"88-73-79-17","2521-001-01",2,21,300,2020,0,1,2,2,,,,,,,,,
"88-73-79-17","2521-001-01",3,21,250,2019,50,2,,2,,,,,,,,,
"05-19-50-61","2522-001-01",1,21,300,2018,22,2,,1,2020,9,2020,10,1,,53,2,
"05-19-50-61","2522-001-01",3,44,43,1989,16,2,,1,2020,9,2020,10,1,,144,2,
"27-48-96-98","2523-001-02",1,21,600,2019,0,2,,1,2021,1,2021,9,2,6,40,2,
"22-75-70-32","2524-001-01",1,21,1000,2020,200,1,2,2,,,,,,,,,
"22-75-70-32","2524-001-01",2,21,2000,2020,100,1,2,2,,,,,,,,,
"07-14-14-70","2526-001-01",1,21,10000,2018,1200,1,2,1,2020,4,2021,2,1,,720,1,3
"89-74-27-61","2527-001-01",2,21,3000,2020,3000,2,,2,,,,,,,,,
"59-63-78-89","2527-001-07",1,21,300,2021,200,1,2,2,,,,,,,,,
"59-63-78-89","2527-001-07",1,54,165,2004,0,1,2,2,,,,,,,,,
"59-63-78-89","2527-001-07",2,21,100,2019,0,2,,2,,,,,,,,,
"08-10-16-12","2544-001-01",1,54,45,2020,45,1,2,2,,,,,,,,,
"08-10-16-12","2544-001-01",1,303,5,1900,0,1,2,1,2020,11,2021,10,1,2,1000,2,
"08-10-16-12","2544-001-01",1,304,4,1982,0,1,2,2,,,,,,,,,
"80-87-24-09","2558-001-01",3,21,400,2019,0,2,,2,,,,,,,,,
"80-87-24-09","2558-001-01",4,21,250,2019,100,2,,1,2020,6,2020,9,1,2,300,2,
"78-10-96-07","2559-001-01",1,21,1650,2020,1650,2,,2,,,,,,,,,
"78-10-96-07","2559-001-01",2,21,1300,2020,1300,2,,2,,,,,,,,,
"38-66-19-41","2560-001-01",1,21,3000,2020,2000,1,2,1,2021,4,2021,11,2,,480,2,
"38-66-19-41","2560-001-01",1,34,50,2019,50,1,2,1,2021,6,2021,8,2,,600,2,
"38-66-19-41","2560-001-01",1,44,35,1993,11,1,2,1,2020,7,2021,2,2,,225,2,
"38-66-19-41","2560-001-01",1,60,30,2015,0,1,2,1,2020,11,2021,10,2,,150,2,
"38-66-19-41","2560-001-01",1,63,4,1993,0,1,2,1,2020,5,2020,8,2,,600,2,
"38-66-19-41","2560-001-01",1,301,10,1993,2,1,2,2,,,,,,,,,
"38-66-19-41","2560-001-01",1,305,60,1993,4,1,2,1,2020,11,2021,10,2,,80,2,
"38-66-19-41","2560-001-01",2,21,6000,2019,3000,1,2,1,2020,6,2021,11,2,,1080,2,
"38-66-19-41","2560-001-01",2,34,1000,2019,50,1,2,1,2021,5,2021,6,2,,60,2,
"38-66-19-41","2560-001-01",2,44,60,1993,6,1,2,1,2020,11,2021,10,2,,4500,2,
"38-66-19-41","2560-001-01",2,53,50,1993,0,1,2,2,,,,,,,,,
"38-66-19-41","2560-001-01",2,59,30,1993,0,1,2,2,,,,,,,,,
"38-66-19-41","2560-001-01",2,60,300,1994,5,1,2,1,2020,11,2021,10,2,,600,1,5
"38-66-19-41","2560-001-01",2,63,10,1993,0,1,2,1,2020,6,2020,7,2,,220,2,
"38-66-19-41","2560-001-01",2,301,4,2017,0,1,2,2,,,,,,,,,
"38-66-19-41","2560-001-01",2,302,400,1993,15,1,2,1,2020,11,2021,10,2,,120,2,
"38-66-19-41","2560-001-01",2,304,4000,1993,1000,1,2,2,,,,,,,,,
"38-66-19-41","2560-001-01",2,305,50,1993,4,1,2,1,2020,11,2021,10,2,,60,2,
"38-66-19-41","2560-001-01",3,21,800,2020,300,1,2,1,2020,11,2021,10,2,,420,2,
"38-66-19-41","2560-001-01",3,34,70,2019,0,1,2,1,2021,6,2021,8,2,,860,2,
"33-20-45-66","2566-001-01",1,44,16,2012,0,1,2,2,,,,,,,,,
"87-80-88-84","2577-001-01",3,21,600,2020,600,2,,1,2020,7,2020,7,1,2,600,2,
"31-12-34-48","2578-001-01",2,21,3750,2018,570,2,,1,2019,11,2020,1,1,2,42,2,
"57-34-90-34","2579-001-01",3,21,1500,2019,0,2,,1,2020,9,2020,9,1,2,600,2,
"03-51-31-80","2580-001-01",2,21,120,2019,0,1,2,1,2020,7,2021,1,1,2,180,2,
"19-69-36-16","2582-001-01",2,21,700,2018,0,2,,1,2020,6,2020,12,1,,60,2,
"81-90-64-93","2582-001-02",1,21,1000,2018,1000,1,2,1,2020,7,2020,8,1,,1500,2,
"52-35-01-10","2583-001-01",1,306,20,2010,0,2,,2,,,,,,,,,
"52-35-01-10","2583-001-01",2,21,60,2019,0,1,2,1,2020,8,2020,8,1,,960,2,
"70-04-49-90","2597-001-01",1,304,3,2006,0,1,2,2,,,,,,,,,
"03-81-40-04","2598-001-01",1,53,100,2012,0,1,2,1,2020,10,2021,11,1,,25,2,
"03-81-40-04","2598-001-01",1,304,10,2019,0,1,2,2,,,,,,,,,
"03-81-40-04","2598-001-01",2,44,2,2012,0,1,2,2,,,,,,,,,
"71-80-87-22","2599-001-01",2,21,250,2020,250,1,2,1,2021,8,2021,9,1,,230,2,
"96-72-67-95","2601-001-01",2,21,100,2019,0,1,2,1,2021,8,2021,8,2,,144,2,
"96-72-67-95","2601-001-01",4,21,30,2020,30,1,2,2,,,,,,,,,
"96-72-67-95","2601-001-01",4,305,5,2004,0,1,2,1,2018,7,2018,7,2,,4500,2,
"41-43-64-19","2603-001-01",2,21,30,2021,30,2,,2,,,,,,,,,
"41-43-64-19","2603-001-01",3,304,1,1900,0,1,2,2,,,,,,,,,
"47-47-77-47","2618-001-01",2,21,50,2020,20,2,,2,,,,,,,,,
"47-47-77-47","2618-001-01",2,57,7,2011,5,2,,1,2020,7,2020,10,1,,60,2,
"47-47-77-47","2618-001-01",2,303,5,1900,0,2,,1,2020,9,2020,11,1,,100,2,
"47-47-77-47","2618-001-01",2,304,40,2020,40,2,,2,,,,,,,,,
"33-87-64-65","2621-001-01",1,304,54,2002,0,1,2,2,,,,,,,,,
"61-66-70-26","2634-001-01",2,304,15,1900,0,2,,2,,,,,,,,,
"61-66-70-26","2634-001-01",2,998,5000,2020,5000,2,,1,2020,6,2020,6,1,,8500,2,
"61-66-70-26","2634-001-01",3,304,10,1900,0,1,2,1,2020,1,2020,12,1,,1000,2,
"61-66-70-26","2634-001-01",3,998,5000,2020,5000,1,2,1,2020,6,2020,6,1,,10020,2,
"61-66-70-26","2634-001-01",4,998,4500,2020,4500,1,2,2,,,,,,,,,
"87-28-67-89","2637-001-01",3,21,450,2019,0,1,2,2,,,,,,,,,
"01-89-35-76","2640-001-01",2,60,10,2019,10,2,,1,2020,1,2020,1,1,2,2,2,
"01-89-35-76","2640-001-01",2,998,200,2020,200,2,,1,2020,7,2020,7,1,2,180,2,
"47-19-86-88","2672-001-02",2,54,100,1970,0,2,,1,2020,12,2021,1,2,,18,2,
"50-32-82-32","2673-001-01",1,54,80,2002,0,2,,2,,,,,,,,,
"50-32-82-32","2673-001-01",1,304,50,1995,0,2,,1,2020,1,2021,1,1,,2000,2,
"20-33-96-80","2675-001-01",1,54,50,1900,0,2,,2,,,,,,,,,
"20-33-96-80","2675-001-01",1,303,10,1900,0,2,,2,,,,,,,,,
"20-33-96-80","2675-001-01",2,304,15,1900,0,2,,2,,,,,,,,,
"84-24-88-24","2676-001-01",1,54,50,2015,0,2,,2,,,,,,,,,
"84-24-88-24","2676-001-01",1,304,4,2018,0,2,,2,,,,,,,,,
"47-00-46-32","2692-001-01",1,45,1,2001,0,1,2,1,2020,2,2021,1,1,2,10,2,
"47-00-46-32","2692-001-01",1,304,14,2008,0,1,2,2,,,,,,,,,
"39-54-66-84","2693-001-01",1,304,8,2012,0,2,,2,,,,,,,,,
"86-49-59-31","2695-001-01",1,21,30,2019,5,2,,1,2020,10,2021,1,1,2,70,2,
"86-49-59-31","2695-001-01",1,304,20,2007,0,2,,2,,,,,,,,,
"99-22-06-74","2748-001-01",1,21,50,2020,50,2,,2,,,,,,,,,
"99-22-06-74","2748-001-01",1,66,10,2000,0,2,,2,,,,,,,,,
"22-68-13-62","2749-001-03",1,21,75,2020,75,2,,1,2020,5,2020,10,3,,375,2,
"56-82-25-56","2750-001-02",4,66,20,1980,0,2,,2,,,,,,,,,
"43-96-69-25","2750-001-03",2,66,25,1980,0,2,,1,2020,7,2020,8,1,,120,2,
"43-96-69-25","2750-001-03",3,21,100,2020,0,2,,1,2020,5,2020,12,1,,560,2,
"43-96-69-25","2750-001-03",3,66,60,1980,0,2,,1,2020,8,2020,9,1,,240,2,
"27-89-89-48","2751-001-02",3,45,2,2003,0,2,,1,2020,7,2020,9,1,2,160,2,
"66-44-70-13","2754-001-02",1,21,100,2020,100,2,,1,2020,5,2020,10,2,,125,2,
"19-29-52-87","2755-001-01",1,21,300,2020,300,2,,1,2020,4,2020,7,1,4,140,2,
"19-29-52-87","2755-001-01",3,66,40,1990,0,2,,1,2020,7,2020,9,1,4,240,2,
"88-70-16-47","2767-001-01",1,45,7,2018,4,2,,2,,,,,,,,,
"88-70-16-47","2767-001-01",1,66,6,2020,6,2,,2,,,,,,,,,
"88-64-17-46","2786-001-01",2,21,40,2021,50,2,,1,2020,6,2020,7,1,2,150,1,5
"64-39-68-45","2787-001-01",1,21,100,2020,150,2,,1,2020,8,2021,12,1,,200,2,
"37-86-68-69","2788-001-01",1,21,200,2020,200,2,,1,2020,6,2020,9,1,2,240,2,
"67-86-73-42","2789-001-01",1,21,250,2019,0,2,,1,2020,3,2020,6,1,,400,2,
"54-74-73-73","2790-001-01",1,21,100,2020,100,2,,2,,,,,,,,,
"54-74-73-73","2790-001-01",2,21,150,2020,150,2,,1,2020,12,2021,2,1,,500,1,5
"80-39-16-43","2790-001-04",1,21,200,2020,200,2,,1,2020,6,2020,8,1,,250,1,2
"85-92-14-25","2791-001-01",2,21,900,2020,900,2,,1,2020,3,2020,9,1,,130,1,2
"90-59-38-22","2792-001-01",1,21,150,2019,0,2,,1,2020,2,2020,4,1,,1600,2,
"90-59-38-22","2792-001-01",2,45,5,2017,3,2,,1,2020,3,2020,3,1,,20,2,
"90-59-38-22","2792-001-01",3,21,2000,2019,20,2,,1,2020,3,2020,8,1,,2400,2,
"44-64-21-26","2793-001-01",1,21,300,2020,300,2,,1,2020,5,2020,9,1,2,320,2,
"37-60-26-94","2805-001-01",2,21,300,2020,300,1,2,1,2020,5,2020,11,1,,200,1,2
"34-43-26-39","2806-001-01",1,21,100,2020,100,2,,2,,,,,,,,,
"95-20-72-75","2807-001-01",2,21,300,2020,320,2,,2,,,,,,,,,
"57-77-58-51","2808-001-01",3,21,300,2020,300,2,,2,,,,,,,,,
"37-58-50-61","2810-001-01",2,45,40,1980,0,2,,1,2020,3,2020,8,1,,450,2,
"42-67-05-59","2811-001-01",3,21,250,2020,250,1,2,1,2020,5,2020,11,1,,200,1,5
"59-21-01-60","2811-001-03",1,45,5,2016,0,2,,2,,,,,,,,,
