"interview__key","y5_hhid","productid","lf08_01","lf08_02","lf08_03_1","lf08_03_2","lf08_04","lf08_05_1","lf08_05_2","lf08_06","lf08_07_a","lf08_07_c","lf08_08_1","lf08_08_2"
"83-93-74-59","1954-001-01",2,2,,,,,,,,,,,
"83-93-74-59","1954-001-01",3,,,,,,,,,,,,
"81-77-28-59","1955-001-01",1,,,,,,,,,,,,
"81-77-28-59","1955-001-01",2,,,,,,,,,,,,
"81-77-28-59","1955-001-01",3,,,,,,,,,,,,
"01-06-14-47","1956-001-01",1,,,,,,,,,,,,
"01-06-14-47","1956-001-01",2,,,,,,,,,,,,
"01-06-14-47","1956-001-01",3,,,,,,,,,,,,
"16-23-33-32","1957-001-01",1,,,,,,,,,,,,
"16-23-33-32","1957-001-01",2,,,,,,,,,,,,
"16-23-33-32","1957-001-01",3,,,,,,,,,,,,
"19-09-34-02","1969-001-01",1,,,,,,,,,,,,
"19-09-34-02","1969-001-01",2,,,,,,,,,,,,
"19-09-34-02","1969-001-01",3,,,,,,,,,,,,
"56-90-00-49","1970-001-02",1,,,,,,,,,,,,
"56-90-00-49","1970-001-02",2,,,,,,,,,,,,
"56-90-00-49","1970-001-02",3,,,,,,,,,,,,
"58-50-67-67","1971-001-01",1,1,3,15,3,2,,,,,,,
"58-50-67-67","1971-001-01",2,2,,,,,,,,,,,
"58-50-67-67","1971-001-01",3,2,,,,,,,,,,,
"92-65-74-02","1971-001-02",1,,,,,,,,,,,,
"92-65-74-02","1971-001-02",2,,,,,,,,,,,,
"92-65-74-02","1971-001-02",3,,,,,,,,,,,,
"64-52-68-60","1972-001-01",1,1,4,90,3,2,,,,,,,
"64-52-68-60","1972-001-01",2,2,,,,,,,,,,,
"64-52-68-60","1972-001-01",3,2,,,,,,,,,,,
"11-00-28-03","1972-001-02",1,1,3,12,3,2,,,,,,,
"11-00-28-03","1972-001-02",2,2,,,,,,,,,,,
"11-00-28-03","1972-001-02",3,2,,,,,,,,,,,
"31-82-03-69","1972-001-05",1,,,,,,,,,,,,
"31-82-03-69","1972-001-05",2,,,,,,,,,,,,
"31-82-03-69","1972-001-05",3,,,,,,,,,,,,
"19-01-37-03","1973-001-01",1,,,,,,,,,,,,
"19-01-37-03","1973-001-01",2,,,,,,,,,,,,
"19-01-37-03","1973-001-01",3,,,,,,,,,,,,
"16-14-63-93","1974-001-01",1,,,,,,,,,,,,
"16-14-63-93","1974-001-01",2,,,,,,,,,,,,
"16-14-63-93","1974-001-01",3,,,,,,,,,,,,
"78-60-63-44","1975-001-02",1,,,,,,,,,,,,
"78-60-63-44","1975-001-02",2,,,,,,,,,,,,
"78-60-63-44","1975-001-02",3,,,,,,,,,,,,
"78-73-09-30","1976-001-01",1,1,4,10,3,2,,,,,,,
"78-73-09-30","1976-001-01",2,2,,,,,,,,,,,
"78-73-09-30","1976-001-01",3,2,,,,,,,,,,,
"01-58-42-07","1988-001-01",1,1,2,11,3,2,,,,,,,
"01-58-42-07","1988-001-01",2,2,,,,,,,,,,,
"01-58-42-07","1988-001-01",3,2,,,,,,,,,,,
"32-78-55-35","1988-001-06",1,1,3,10,3,2,,,,,,,
"32-78-55-35","1988-001-06",2,2,,,,,,,,,,,
"32-78-55-35","1988-001-06",3,2,,,,,,,,,,,
"25-96-98-14","1988-001-07",1,1,2,10,3,2,,,,,,,
"25-96-98-14","1988-001-07",2,2,,,,,,,,,,,
"25-96-98-14","1988-001-07",3,2,,,,,,,,,,,
"08-18-13-46","1989-001-01",1,1,10,9,3,2,,,,,,,
"08-18-13-46","1989-001-01",2,2,,,,,,,,,,,
"08-18-13-46","1989-001-01",3,2,,,,,,,,,,,
"19-52-92-51","1990-001-01",1,,,,,,,,,,,,
"19-52-92-51","1990-001-01",2,,,,,,,,,,,,
"19-52-92-51","1990-001-01",3,,,,,,,,,,,,
"72-35-09-82","1991-001-01",1,,,,,,,,,,,,
"72-35-09-82","1991-001-01",2,,,,,,,,,,,,
"72-35-09-82","1991-001-01",3,,,,,,,,,,,,
"42-19-40-01","1991-001-04",1,1,1,70,3,2,,,,,,,
"42-19-40-01","1991-001-04",2,2,,,,,,,,,,,
"42-19-40-01","1991-001-04",3,2,,,,,,,,,,,
"21-07-86-97","1992-001-01",1,1,3,30,3,1,60,3,18000,4,1,1,2
"21-07-86-97","1992-001-01",2,1,1,6,1,1,4,1,20000,4,1,1,2
"21-07-86-97","1992-001-01",3,2,,,,,,,,,,,
"57-66-23-77","1993-001-01",1,,,,,,,,,,,,
"57-66-23-77","1993-001-01",2,,,,,,,,,,,,
"57-66-23-77","1993-001-01",3,,,,,,,,,,,,
"28-97-65-63","1994-001-01",1,2,,,,,,,,,,,
"28-97-65-63","1994-001-01",2,2,,,,,,,,,,,
"28-97-65-63","1994-001-01",3,2,,,,,,,,,,,
"86-15-44-91","1994-001-03",1,1,8,30,3,2,,,,,,,
"86-15-44-91","1994-001-03",2,2,,,,,,,,,,,
"86-15-44-91","1994-001-03",3,2,,,,,,,,,,,
"48-18-40-43","2007-001-01",1,1,2,20,3,2,,,,,,,
"48-18-40-43","2007-001-01",2,2,,,,,,,,,,,
"48-18-40-43","2007-001-01",3,2,,,,,,,,,,,
"23-38-07-81","2008-001-01",1,1,3,45,3,2,,,,,,,
"23-38-07-81","2008-001-01",2,2,,,,,,,,,,,
"23-38-07-81","2008-001-01",3,2,,,,,,,,,,,
"31-46-39-26","2009-001-01",1,1,3,45,3,2,,,,,,,
"31-46-39-26","2009-001-01",2,2,,,,,,,,,,,
"31-46-39-26","2009-001-01",3,2,,,,,,,,,,,
"79-28-77-43","2009-001-03",1,,,,,,,,,,,,
"79-28-77-43","2009-001-03",2,,,,,,,,,,,,
"79-28-77-43","2009-001-03",3,,,,,,,,,,,,
"82-54-02-14","2009-001-04",1,,,,,,,,,,,,
"82-54-02-14","2009-001-04",2,,,,,,,,,,,,
"82-54-02-14","2009-001-04",3,,,,,,,,,,,,
"36-61-47-76","2009-001-06",1,2,,,,,,,,,,,
"36-61-47-76","2009-001-06",2,2,,,,,,,,,,,
"36-61-47-76","2009-001-06",3,2,,,,,,,,,,,
"27-69-09-19","2010-001-01",1,2,,,,,,,,,,,
"27-69-09-19","2010-001-01",2,2,,,,,,,,,,,
"27-69-09-19","2010-001-01",3,2,,,,,,,,,,,
"67-18-23-87","2011-001-01",1,1,3,11,3,2,,,,,,,
"67-18-23-87","2011-001-01",2,2,,,,,,,,,,,
"67-18-23-87","2011-001-01",3,2,,,,,,,,,,,
"23-38-22-85","2012-001-01",1,2,,,,,,,,,,,
"23-38-22-85","2012-001-01",2,2,,,,,,,,,,,
"23-38-22-85","2012-001-01",3,2,,,,,,,,,,,
"10-79-15-55","2013-001-01",1,,,,,,,,,,,,
"10-79-15-55","2013-001-01",2,,,,,,,,,,,,
"10-79-15-55","2013-001-01",3,,,,,,,,,,,,
"28-82-13-87","2014-001-01",1,,,,,,,,,,,,
"28-82-13-87","2014-001-01",2,,,,,,,,,,,,
"28-82-13-87","2014-001-01",3,,,,,,,,,,,,
"95-44-14-69","2014-001-02",1,,,,,,,,,,,,
"95-44-14-69","2014-001-02",2,,,,,,,,,,,,
"95-44-14-69","2014-001-02",3,,,,,,,,,,,,
"65-11-98-08","2026-001-01",1,,,,,,,,,,,,
"65-11-98-08","2026-001-01",2,,,,,,,,,,,,
"65-11-98-08","2026-001-01",3,,,,,,,,,,,,
"62-10-06-92","2027-001-01",1,,,,,,,,,,,,
"62-10-06-92","2027-001-01",2,,,,,,,,,,,,
"62-10-06-92","2027-001-01",3,,,,,,,,,,,,
"42-38-34-36","2028-001-01",1,,,,,,,,,,,,
"42-38-34-36","2028-001-01",2,,,,,,,,,,,,
"42-38-34-36","2028-001-01",3,,,,,,,,,,,,
"83-09-48-58","2029-001-01",1,1,3,13,3,2,,,,,,,
"83-09-48-58","2029-001-01",2,2,,,,,,,,,,,
"83-09-48-58","2029-001-01",3,2,,,,,,,,,,,
"44-32-20-34","2030-001-01",1,1,3,30,3,2,,,,,,,
"44-32-20-34","2030-001-01",2,2,,,,,,,,,,,
"44-32-20-34","2030-001-01",3,2,,,,,,,,,,,
"86-02-52-32","2031-001-01",1,1,2,40,3,2,,,,,,,
"86-02-52-32","2031-001-01",2,2,,,,,,,,,,,
"86-02-52-32","2031-001-01",3,2,,,,,,,,,,,
"12-88-92-27","2032-001-01",1,,,,,,,,,,,,
"12-88-92-27","2032-001-01",2,,,,,,,,,,,,
"12-88-92-27","2032-001-01",3,,,,,,,,,,,,
"68-75-40-96","2033-001-01",1,1,3,45,3,1,45,3,18000,16,1,2,
"68-75-40-96","2033-001-01",2,2,,,,,,,,,,,
"68-75-40-96","2033-001-01",3,2,,,,,,,,,,,
"66-23-15-54","2045-001-01",1,1,4,15,3,2,,,,,,,
"66-23-15-54","2045-001-01",2,2,,,,,,,,,,,
"66-23-15-54","2045-001-01",3,2,,,,,,,,,,,
"19-73-12-23","2045-001-02",1,,,,,,,,,,,,
"19-73-12-23","2045-001-02",2,,,,,,,,,,,,
"19-73-12-23","2045-001-02",3,,,,,,,,,,,,
"62-61-78-73","2046-001-01",1,1,3,90,3,2,,,,,,,
"62-61-78-73","2046-001-01",2,2,,,,,,,,,,,
"62-61-78-73","2046-001-01",3,2,,,,,,,,,,,
"37-38-65-38","2047-001-01",1,1,3,15,3,1,180,3,72000,2,1,1,2
"37-38-65-38","2047-001-01",2,2,,,,,,,,,,,
"37-38-65-38","2047-001-01",3,2,,,,,,,,,,,
"51-19-63-66","2048-001-01",1,1,3,20,3,2,,,,,,,
"51-19-63-66","2048-001-01",2,2,,,,,,,,,,,
"51-19-63-66","2048-001-01",3,2,,,,,,,,,,,
"68-42-20-72","2049-001-01",1,1,1,10,3,2,,,,,,,
"68-42-20-72","2049-001-01",2,2,,,,,,,,,,,
"68-42-20-72","2049-001-01",3,2,,,,,,,,,,,
"08-25-98-68","2050-001-02",1,,,,,,,,,,,,
"08-25-98-68","2050-001-02",2,,,,,,,,,,,,
"08-25-98-68","2050-001-02",3,,,,,,,,,,,,
"97-07-45-24","2051-001-01",1,1,1,14,3,2,,,,,,,
"97-07-45-24","2051-001-01",2,2,,,,,,,,,,,
"97-07-45-24","2051-001-01",3,2,,,,,,,,,,,
"71-98-45-44","2052-001-01",1,,,,,,,,,,,,
"71-98-45-44","2052-001-01",2,,,,,,,,,,,,
"71-98-45-44","2052-001-01",3,,,,,,,,,,,,
"94-12-64-07","2064-001-01",1,,,,,,,,,,,,
"94-12-64-07","2064-001-01",2,,,,,,,,,,,,
"94-12-64-07","2064-001-01",3,,,,,,,,,,,,
"17-99-58-67","2065-001-01",1,,,,,,,,,,,,
"17-99-58-67","2065-001-01",2,,,,,,,,,,,,
"17-99-58-67","2065-001-01",3,,,,,,,,,,,,
"77-92-16-67","2066-001-01",1,2,,,,,,,,,,,
"77-92-16-67","2066-001-01",2,2,,,,,,,,,,,
"77-92-16-67","2066-001-01",3,2,,,,,,,,,,,
"66-38-93-89","2067-001-01",1,2,,,,,,,,,,,
"66-38-93-89","2067-001-01",2,2,,,,,,,,,,,
"66-38-93-89","2067-001-01",3,2,,,,,,,,,,,
"35-93-00-79","2068-001-01",1,2,,,,,,,,,,,
"35-93-00-79","2068-001-01",2,2,,,,,,,,,,,
"35-93-00-79","2068-001-01",3,2,,,,,,,,,,,
"53-91-30-09","2069-001-01",1,,,,,,,,,,,,
"53-91-30-09","2069-001-01",2,,,,,,,,,,,,
"53-91-30-09","2069-001-01",3,,,,,,,,,,,,
"98-95-98-62","2070-001-01",1,2,,,,,,,,,,,
"98-95-98-62","2070-001-01",2,2,,,,,,,,,,,
"98-95-98-62","2070-001-01",3,2,,,,,,,,,,,
"13-66-67-95","2072-001-01",1,1,3,9,3,2,,,,,,,
"13-66-67-95","2072-001-01",2,2,,,,,,,,,,,
"13-66-67-95","2072-001-01",3,2,,,,,,,,,,,
"70-95-25-80","2072-001-02",1,,,,,,,,,,,,
"70-95-25-80","2072-001-02",2,,,,,,,,,,,,
"70-95-25-80","2072-001-02",3,,,,,,,,,,,,
"24-27-78-93","2083-001-01",1,,,,,,,,,,,,
"24-27-78-93","2083-001-01",2,,,,,,,,,,,,
"24-27-78-93","2083-001-01",3,,,,,,,,,,,,
"51-49-82-49","2083-001-03",1,,,,,,,,,,,,
"51-49-82-49","2083-001-03",2,,,,,,,,,,,,
"51-49-82-49","2083-001-03",3,,,,,,,,,,,,
"73-25-52-85","2085-001-01",1,1,6,14,3,2,,,,,,,
"73-25-52-85","2085-001-01",2,2,,,,,,,,,,,
"73-25-52-85","2085-001-01",3,2,,,,,,,,,,,
"50-36-50-82","2086-001-01",1,1,4,8,3,2,,,,,,,
"50-36-50-82","2086-001-01",2,2,,,,,,,,,,,
"50-36-50-82","2086-001-01",3,2,,,,,,,,,,,
"29-87-29-69","2087-001-01",1,,,,,,,,,,,,
"29-87-29-69","2087-001-01",2,,,,,,,,,,,,
"29-87-29-69","2087-001-01",3,,,,,,,,,,,,
"92-24-01-44","2088-001-01",1,,,,,,,,,,,,
"92-24-01-44","2088-001-01",2,,,,,,,,,,,,
"92-24-01-44","2088-001-01",3,,,,,,,,,,,,
"31-32-30-42","2089-001-01",1,1,3,9,3,2,,,,,,,
"31-32-30-42","2089-001-01",2,2,,,,,,,,,,,
"31-32-30-42","2089-001-01",3,2,,,,,,,,,,,
"61-82-69-08","2089-001-02",1,,,,,,,,,,,,
"61-82-69-08","2089-001-02",2,,,,,,,,,,,,
"61-82-69-08","2089-001-02",3,,,,,,,,,,,,
"52-18-39-52","2090-001-01",1,2,,,,,,,,,,,
"52-18-39-52","2090-001-01",2,2,,,,,,,,,,,
"52-18-39-52","2090-001-01",3,2,,,,,,,,,,,
"73-31-47-95","2102-001-01",1,2,,,,,,,,,,,
"73-31-47-95","2102-001-01",2,2,,,,,,,,,,,
"73-31-47-95","2102-001-01",3,2,,,,,,,,,,,
"02-38-53-95","2103-001-01",1,,,,,,,,,,,,
"02-38-53-95","2103-001-01",2,,,,,,,,,,,,
"02-38-53-95","2103-001-01",3,,,,,,,,,,,,
"34-93-93-40","2105-001-01",1,1,3,8,3,2,,,,,,,
"34-93-93-40","2105-001-01",2,2,,,,,,,,,,,
"34-93-93-40","2105-001-01",3,2,,,,,,,,,,,
"82-80-81-61","2105-001-02",1,1,3,8,3,2,,,,,,,
"82-80-81-61","2105-001-02",2,2,,,,,,,,,,,
"82-80-81-61","2105-001-02",3,2,,,,,,,,,,,
"99-81-48-13","2106-001-01",1,,,,,,,,,,,,
"99-81-48-13","2106-001-01",2,,,,,,,,,,,,
"99-81-48-13","2106-001-01",3,,,,,,,,,,,,
"21-33-89-79","2107-001-01",1,1,2,20,3,1,35,3,8750,4,1,1,
"21-33-89-79","2107-001-01",2,2,,,,,,,,,,,
"21-33-89-79","2107-001-01",3,2,,,,,,,,,,,
"08-12-12-35","2108-001-01",1,,,,,,,,,,,,
"08-12-12-35","2108-001-01",2,,,,,,,,,,,,
"08-12-12-35","2108-001-01",3,,,,,,,,,,,,
"46-01-30-67","2109-001-01",1,2,,,,,,,,,,,
"46-01-30-67","2109-001-01",2,2,,,,,,,,,,,
"46-01-30-67","2109-001-01",3,2,,,,,,,,,,,
"89-05-97-18","2110-001-01",1,,,,,,,,,,,,
"89-05-97-18","2110-001-01",2,,,,,,,,,,,,
"89-05-97-18","2110-001-01",3,,,,,,,,,,,,
"19-03-71-26","2121-001-01",1,2,,,,,,,,,,,
"19-03-71-26","2121-001-01",2,2,,,,,,,,,,,
"19-03-71-26","2121-001-01",3,2,,,,,,,,,,,
"72-87-81-32","2122-001-01",1,2,,,,,,,,,,,
"72-87-81-32","2122-001-01",2,2,,,,,,,,,,,
"72-87-81-32","2122-001-01",3,2,,,,,,,,,,,
"62-47-33-37","2123-001-01",1,2,,,,,,,,,,,
"62-47-33-37","2123-001-01",2,2,,,,,,,,,,,
"62-47-33-37","2123-001-01",3,2,,,,,,,,,,,
"46-20-06-25","2123-001-02",1,2,,,,,,,,,,,
"46-20-06-25","2123-001-02",2,2,,,,,,,,,,,
"46-20-06-25","2123-001-02",3,2,,,,,,,,,,,
"37-05-92-60","2124-001-01",1,,,,,,,,,,,,
"37-05-92-60","2124-001-01",2,,,,,,,,,,,,
"37-05-92-60","2124-001-01",3,,,,,,,,,,,,
"85-54-66-36","2125-001-01",1,1,2,15,3,2,,,,,,,
"85-54-66-36","2125-001-01",2,2,,,,,,,,,,,
"85-54-66-36","2125-001-01",3,2,,,,,,,,,,,
"35-74-58-19","2126-001-01",1,2,,,,,,,,,,,
"35-74-58-19","2126-001-01",2,2,,,,,,,,,,,
"35-74-58-19","2126-001-01",3,2,,,,,,,,,,,
"94-09-90-45","2127-001-01",1,1,3,13,3,2,,,,,,,
"94-09-90-45","2127-001-01",2,2,,,,,,,,,,,
"94-09-90-45","2127-001-01",3,2,,,,,,,,,,,
"41-24-37-00","2128-001-01",1,,,,,,,,,,,,
"41-24-37-00","2128-001-01",2,,,,,,,,,,,,
"41-24-37-00","2128-001-01",3,,,,,,,,,,,,
"96-25-27-68","2140-001-01",1,1,5,13,3,2,,,,,,,
"96-25-27-68","2140-001-01",2,2,,,,,,,,,,,
"96-25-27-68","2140-001-01",3,2,,,,,,,,,,,
"60-98-83-84","2141-001-01",1,2,,,,,,,,,,,
"60-98-83-84","2141-001-01",2,2,,,,,,,,,,,
"60-98-83-84","2141-001-01",3,2,,,,,,,,,,,
"49-89-60-44","2142-001-01",1,,,,,,,,,,,,
"49-89-60-44","2142-001-01",2,,,,,,,,,,,,
"49-89-60-44","2142-001-01",3,,,,,,,,,,,,
"47-33-48-34","2143-001-01",1,,,,,,,,,,,,
"47-33-48-34","2143-001-01",2,,,,,,,,,,,,
"47-33-48-34","2143-001-01",3,,,,,,,,,,,,
"41-90-49-08","2143-001-02",1,2,,,,,,,,,,,
"41-90-49-08","2143-001-02",2,2,,,,,,,,,,,
"41-90-49-08","2143-001-02",3,2,,,,,,,,,,,
"93-04-22-65","2143-001-04",1,,,,,,,,,,,,
"93-04-22-65","2143-001-04",2,,,,,,,,,,,,
"93-04-22-65","2143-001-04",3,,,,,,,,,,,,
"42-74-37-60","2144-001-01",1,2,,,,,,,,,,,
"42-74-37-60","2144-001-01",2,2,,,,,,,,,,,
"42-74-37-60","2144-001-01",3,2,,,,,,,,,,,
"51-55-51-26","2145-001-01",1,2,,,,,,,,,,,
"51-55-51-26","2145-001-01",2,2,,,,,,,,,,,
"51-55-51-26","2145-001-01",3,2,,,,,,,,,,,
"88-95-93-56","2146-001-01",1,2,,,,,,,,,,,
"88-95-93-56","2146-001-01",2,2,,,,,,,,,,,
"88-95-93-56","2146-001-01",3,2,,,,,,,,,,,
"37-02-89-81","2146-001-03",1,1,2,7,3,2,,,,,,,
"37-02-89-81","2146-001-03",2,2,,,,,,,,,,,
"37-02-89-81","2146-001-03",3,2,,,,,,,,,,,
"98-78-94-13","2147-001-01",1,1,2,9,3,2,,,,,,,
"98-78-94-13","2147-001-01",2,2,,,,,,,,,,,
"98-78-94-13","2147-001-01",3,2,,,,,,,,,,,
"82-49-19-23","2159-001-01",1,1,3,10,3,2,,,,,,,
"82-49-19-23","2159-001-01",2,2,,,,,,,,,,,
"82-49-19-23","2159-001-01",3,2,,,,,,,,,,,
"40-34-16-23","2159-001-04",1,,,,,,,,,,,,
"40-34-16-23","2159-001-04",2,,,,,,,,,,,,
"40-34-16-23","2159-001-04",3,,,,,,,,,,,,
"35-01-77-26","2161-001-01",1,,,,,,,,,,,,
"35-01-77-26","2161-001-01",2,,,,,,,,,,,,
"35-01-77-26","2161-001-01",3,,,,,,,,,,,,
"43-91-81-40","2161-001-03",1,,,,,,,,,,,,
"43-91-81-40","2161-001-03",2,,,,,,,,,,,,
"43-91-81-40","2161-001-03",3,,,,,,,,,,,,
"36-41-18-97","2161-001-04",1,,,,,,,,,,,,
"36-41-18-97","2161-001-04",2,,,,,,,,,,,,
"36-41-18-97","2161-001-04",3,,,,,,,,,,,,
"92-29-28-06","2162-001-01",1,,,,,,,,,,,,
"92-29-28-06","2162-001-01",2,,,,,,,,,,,,
"92-29-28-06","2162-001-01",3,,,,,,,,,,,,
"45-96-39-56","2164-001-01",1,,,,,,,,,,,,
"45-96-39-56","2164-001-01",2,,,,,,,,,,,,
"45-96-39-56","2164-001-01",3,,,,,,,,,,,,
"43-24-82-62","2165-001-01",1,2,,,,,,,,,,,
"43-24-82-62","2165-001-01",2,2,,,,,,,,,,,
"43-24-82-62","2165-001-01",3,2,,,,,,,,,,,
"79-35-82-23","2166-001-01",1,,,,,,,,,,,,
"79-35-82-23","2166-001-01",2,,,,,,,,,,,,
"79-35-82-23","2166-001-01",3,,,,,,,,,,,,
"27-71-37-11","2178-001-01",1,,,,,,,,,,,,
"27-71-37-11","2178-001-01",2,,,,,,,,,,,,
"27-71-37-11","2178-001-01",3,,,,,,,,,,,,
"08-19-86-57","2179-001-01",1,2,,,,,,,,,,,
"08-19-86-57","2179-001-01",2,2,,,,,,,,,,,
"08-19-86-57","2179-001-01",3,2,,,,,,,,,,,
"27-47-48-35","2179-001-03",1,,,,,,,,,,,,
"27-47-48-35","2179-001-03",2,,,,,,,,,,,,
"27-47-48-35","2179-001-03",3,,,,,,,,,,,,
"14-48-48-94","2180-001-01",1,,,,,,,,,,,,
"14-48-48-94","2180-001-01",2,,,,,,,,,,,,
"14-48-48-94","2180-001-01",3,,,,,,,,,,,,
"82-21-30-39","2181-001-01",1,1,3,36,3,2,,,,,,,
"82-21-30-39","2181-001-01",2,2,,,,,,,,,,,
"82-21-30-39","2181-001-01",3,2,,,,,,,,,,,
"09-99-32-01","2182-001-01",1,2,,,,,,,,,,,
"09-99-32-01","2182-001-01",2,2,,,,,,,,,,,
"09-99-32-01","2182-001-01",3,2,,,,,,,,,,,
"81-89-19-21","2183-001-01",1,,,,,,,,,,,,
"81-89-19-21","2183-001-01",2,,,,,,,,,,,,
"81-89-19-21","2183-001-01",3,,,,,,,,,,,,
"97-20-56-67","2184-001-01",1,2,,,,,,,,,,,
"97-20-56-67","2184-001-01",2,2,,,,,,,,,,,
"97-20-56-67","2184-001-01",3,2,,,,,,,,,,,
"01-60-89-94","2185-001-01",1,2,,,,,,,,,,,
"01-60-89-94","2185-001-01",2,2,,,,,,,,,,,
"01-60-89-94","2185-001-01",3,2,,,,,,,,,,,
"50-12-34-35","2197-001-01",1,1,3,9,3,2,,,,,,,
"50-12-34-35","2197-001-01",2,2,,,,,,,,,,,
"50-12-34-35","2197-001-01",3,2,,,,,,,,,,,
"54-85-06-09","2198-001-02",1,1,8,12,3,2,,,,,,,
"54-85-06-09","2198-001-02",2,2,,,,,,,,,,,
"54-85-06-09","2198-001-02",3,2,,,,,,,,,,,
"01-99-19-15","2198-001-03",1,2,,,,,,,,,,,
"01-99-19-15","2198-001-03",2,2,,,,,,,,,,,
"01-99-19-15","2198-001-03",3,2,,,,,,,,,,,
"56-62-89-78","2199-001-01",1,2,,,,,,,,,,,
"56-62-89-78","2199-001-01",2,2,,,,,,,,,,,
"56-62-89-78","2199-001-01",3,2,,,,,,,,,,,
"77-31-17-49","2199-001-03",1,1,2,12,3,2,,,,,,,
"77-31-17-49","2199-001-03",2,2,,,,,,,,,,,
"77-31-17-49","2199-001-03",3,2,,,,,,,,,,,
"97-95-25-48","2200-001-01",1,1,5,30,3,2,,,,,,,
"97-95-25-48","2200-001-01",2,2,,,,,,,,,,,
"97-95-25-48","2200-001-01",3,2,,,,,,,,,,,
"99-10-27-02","2200-001-03",1,1,4,42,3,2,,,,,,,
"99-10-27-02","2200-001-03",2,2,,,,,,,,,,,
"99-10-27-02","2200-001-03",3,2,,,,,,,,,,,
"14-73-22-19","2201-001-01",1,2,,,,,,,,,,,
"14-73-22-19","2201-001-01",2,2,,,,,,,,,,,
"14-73-22-19","2201-001-01",3,2,,,,,,,,,,,
"89-10-69-31","2202-001-01",1,,,,,,,,,,,,
"89-10-69-31","2202-001-01",2,,,,,,,,,,,,
"89-10-69-31","2202-001-01",3,,,,,,,,,,,,
"72-15-83-72","2203-001-01",1,,,,,,,,,,,,
"72-15-83-72","2203-001-01",2,,,,,,,,,,,,
"72-15-83-72","2203-001-01",3,,,,,,,,,,,,
"56-10-08-70","2204-001-01",1,2,,,,,,,,,,,
"56-10-08-70","2204-001-01",2,2,,,,,,,,,,,
"56-10-08-70","2204-001-01",3,2,,,,,,,,,,,
"59-53-21-47","2204-001-04",1,,,,,,,,,,,,
"59-53-21-47","2204-001-04",2,,,,,,,,,,,,
"59-53-21-47","2204-001-04",3,,,,,,,,,,,,
"78-15-43-85","2216-001-01",1,1,5,15,3,2,,,,,,,
"78-15-43-85","2216-001-01",2,2,,,,,,,,,,,
"78-15-43-85","2216-001-01",3,2,,,,,,,,,,,
"23-93-25-07","2217-001-01",1,,,,,,,,,,,,
"23-93-25-07","2217-001-01",2,,,,,,,,,,,,
"23-93-25-07","2217-001-01",3,,,,,,,,,,,,
"81-50-48-56","2217-001-02",1,1,2,17,3,2,,,,,,,
"81-50-48-56","2217-001-02",2,2,,,,,,,,,,,
"81-50-48-56","2217-001-02",3,2,,,,,,,,,,,
"84-58-41-51","2218-001-01",1,1,4,15,3,2,,,,,,,
"84-58-41-51","2218-001-01",2,2,,,,,,,,,,,
"84-58-41-51","2218-001-01",3,2,,,,,,,,,,,
"55-19-95-16","2219-001-01",1,1,1,14,3,2,,,,,,,
"55-19-95-16","2219-001-01",2,2,,,,,,,,,,,
"55-19-95-16","2219-001-01",3,2,,,,,,,,,,,
"91-90-18-92","2220-001-01",1,2,,,,,,,,,,,
"91-90-18-92","2220-001-01",2,2,,,,,,,,,,,
"91-90-18-92","2220-001-01",3,2,,,,,,,,,,,
"05-40-62-63","2221-001-01",1,1,3,9,3,2,,,,,,,
"05-40-62-63","2221-001-01",2,2,,,,,,,,,,,
"05-40-62-63","2221-001-01",3,2,,,,,,,,,,,
"24-15-17-33","2222-001-01",1,1,4,13,3,2,,,,,,,
"24-15-17-33","2222-001-01",2,2,,,,,,,,,,,
"24-15-17-33","2222-001-01",3,2,,,,,,,,,,,
"33-24-91-94","2222-001-04",1,,,,,,,,,,,,
"33-24-91-94","2222-001-04",2,,,,,,,,,,,,
"33-24-91-94","2222-001-04",3,,,,,,,,,,,,
"14-85-96-30","2222-001-08",1,1,2,20,3,2,,,,,,,
"14-85-96-30","2222-001-08",2,2,,,,,,,,,,,
"14-85-96-30","2222-001-08",3,2,,,,,,,,,,,
"35-89-80-03","2223-001-02",1,,,,,,,,,,,,
"35-89-80-03","2223-001-02",2,,,,,,,,,,,,
"35-89-80-03","2223-001-02",3,,,,,,,,,,,,
"21-66-19-79","2235-001-01",1,1,2,24,3,1,12,3,4800,16,1,2,
"21-66-19-79","2235-001-01",2,2,,,,,,,,,,,
"21-66-19-79","2235-001-01",3,2,,,,,,,,,,,
"04-72-30-29","2236-001-01",1,2,,,,,,,,,,,
"04-72-30-29","2236-001-01",2,2,,,,,,,,,,,
"04-72-30-29","2236-001-01",3,2,,,,,,,,,,,
"00-11-58-55","2236-001-02",1,,,,,,,,,,,,
"00-11-58-55","2236-001-02",2,,,,,,,,,,,,
"00-11-58-55","2236-001-02",3,,,,,,,,,,,,
"70-46-23-36","2237-001-01",1,,,,,,,,,,,,
"70-46-23-36","2237-001-01",2,,,,,,,,,,,,
"70-46-23-36","2237-001-01",3,,,,,,,,,,,,
"33-40-18-38","2238-001-01",1,1,4,62,3,2,,,,,,,
"33-40-18-38","2238-001-01",2,2,,,,,,,,,,,
"33-40-18-38","2238-001-01",3,2,,,,,,,,,,,
"00-38-57-23","2239-001-01",1,1,1,9,3,2,,,,,,,
"00-38-57-23","2239-001-01",2,2,,,,,,,,,,,
